slug,category,title,has_short_description,short_description_length,has_long_description,long_description_length,has_input_schema,has_output_schema,example_calls_count,example_responses_count,has_capability_page,capability_page_length,has_structured_data_markup,page_has_code_example,page_has_response_example,test_files_count,docs_files_count,sample_files_count,tier_classification,maintenance_class,last_updated
dns-lookup,web-intelligence,DNS Lookup,yes,122,yes,122,yes,yes,1,1,yes,28221,yes,yes,yes,1,2,1,free,,
openapi-generate,developer-tools,OpenAPI Generate,yes,86,no,86,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
postal-code-lookup,data-extraction,Postal Code Lookup,yes,149,yes,149,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
paid-api-preflight,validation,Paid API Pre-flight Check,yes,498,yes,498,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
log-parse,developer-tools,Log Parse,yes,158,yes,158,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
return-policy-extract,data-extraction,Return Policy Extract,yes,108,yes,108,yes,yes,1,0,yes,28221,yes,yes,yes,1,0,1,paid,,
job-board-search,data-extraction,Job Board Search,yes,116,yes,116,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
seo-audit,competitive-intelligence,SEO Audit,yes,163,yes,163,yes,yes,1,1,yes,28221,yes,yes,yes,1,0,1,paid,,
insolvency-check,compliance,Insolvency Check,yes,150,yes,150,yes,yes,3,1,yes,28221,yes,yes,yes,1,0,1,paid,,
token-security-check,web3,Token Security Check,yes,210,yes,210,yes,yes,2,1,yes,28221,yes,yes,yes,0,1,1,paid,,
company-industry-classify,data-processing,Company Industry Classify,yes,161,yes,161,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
env-template-generate,developer-tools,Env Template Generate,yes,151,yes,151,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
vasp-verify,web3,VASP Verification,yes,238,yes,238,yes,yes,3,1,yes,28221,yes,yes,yes,0,0,1,paid,,
crypto-price,data-extraction,Crypto Price,yes,125,yes,125,yes,yes,2,1,yes,28221,yes,yes,yes,1,0,1,paid,,
phishing-site-check,web3,Phishing Site Check,yes,184,yes,184,yes,yes,1,1,yes,28221,yes,yes,yes,0,1,1,paid,,
http-to-curl,developer-tools,HTTP to cURL,yes,121,yes,121,yes,yes,5,1,yes,28221,yes,yes,yes,1,0,1,paid,,
